winner_pp,placer_pp,show_pp,winner,placer,show,our_prob_pct,mkt_prob_pct,payout_per_1,payout_source,overlay,ev_per_1
18,4,6,Further Ado,Litmus Test,Commandment,0.1908,0.0578,1349.8939,synth,3.302,1.5756
4,14,18,Litmus Test,Potente,Further Ado,0.0509,0.0154,5052.9073,synth,3.2962,1.571
4,1,18,Litmus Test,Renegade,Further Ado,0.1479,0.0454,1719.9045,synth,3.2615,1.544
18,15,4,Further Ado,Emerging Market,Litmus Test,0.1187,0.0367,2123.4051,synth,3.2327,1.5215
14,4,18,Potente,Litmus Test,Further Ado,0.0504,0.0156,4995.074,synth,3.2255,1.5159
3,15,18,Intrepido,Emerging Market,Further Ado,0.0516,0.0161,4854.6843,synth,3.2132,1.5063
18,6,4,Further Ado,Commandment,Litmus Test,0.2102,0.0654,1191.8713,synth,3.2126,1.5058
1,4,18,Renegade,Litmus Test,Further Ado,0.1589,0.0495,1574.8763,synth,3.2083,1.5025
3,6,18,Intrepido,Commandment,Further Ado,0.0904,0.0284,2744.7799,synth,3.1802,1.4806
4,18,15,Litmus Test,Further Ado,Emerging Market,0.1006,0.0317,2457.0065,synth,3.1701,1.4727
15,3,18,Emerging Market,Intrepido,Further Ado,0.054,0.0171,4548.6083,synth,3.1505,1.4574
4,18,6,Litmus Test,Further Ado,Commandment,0.1663,0.0529,1474.2039,synth,3.1438,1.4522
15,18,19,Emerging Market,Further Ado,Golden Tempo,0.111,0.0354,2203.6801,synth,3.1347,1.4451
6,3,18,Commandment,Intrepido,Further Ado,0.1,0.0322,2426.0005,synth,3.1087,1.4248
6,18,19,Commandment,Further Ado,Golden Tempo,0.2076,0.0668,1166.8388,synth,3.1058,1.4225
19,15,18,Golden Tempo,Emerging Market,Further Ado,0.0939,0.0306,2553.1552,synth,3.0721,1.3962
19,6,18,Golden Tempo,Commandment,Further Ado,0.1646,0.0541,1442.1543,synth,3.0426,1.3733
15,18,4,Emerging Market,Further Ado,Litmus Test,0.1059,0.0354,2203.6801,synth,2.9928,1.3343
15,19,18,Emerging Market,Golden Tempo,Further Ado,0.0958,0.0321,2426.2469,synth,2.979,1.3236
6,18,4,Commandment,Further Ado,Litmus Test,0.1982,0.0668,1166.8388,synth,2.9651,1.3128
18,1,16,Further Ado,Renegade,Pavlovian,0.0875,0.0297,2630.3165,synth,2.95,1.301
6,19,18,Commandment,Golden Tempo,Further Ado,0.1775,0.0603,1292.8119,synth,2.9415,1.2944
4,15,18,Litmus Test,Emerging Market,Further Ado,0.0891,0.0306,2553.1552,synth,2.9162,1.2746
18,16,1,Further Ado,Pavlovian,Renegade,0.077,0.0264,2954.2629,synth,2.9158,1.2744
18,3,12,Further Ado,Intrepido,Chief Wallabee,0.0669,0.0231,3376.3004,synth,2.8938,1.2572
4,6,18,Litmus Test,Commandment,Further Ado,0.1562,0.0541,1442.1543,synth,2.8877,1.2524
15,4,18,Emerging Market,Litmus Test,Further Ado,0.0912,0.0321,2426.2469,synth,2.8356,1.2118
6,4,18,Commandment,Litmus Test,Further Ado,0.1689,0.0603,1292.8119,synth,2.7994,1.1835
18,12,3,Further Ado,Chief Wallabee,Intrepido,0.0705,0.0255,3060.2552,synth,2.7679,1.159
1,18,16,Renegade,Further Ado,Pavlovian,0.0819,0.0297,2630.3165,synth,2.7628,1.1549
18,19,12,Further Ado,Golden Tempo,Chief Wallabee,0.1189,0.0433,1799.8586,synth,2.7442,1.1405
3,18,12,Intrepido,Further Ado,Chief Wallabee,0.057,0.0209,3739.7211,synth,2.7323,1.1312
16,18,1,Pavlovian,Further Ado,Renegade,0.065,0.0238,3272.256,synth,2.7273,1.1273
18,15,16,Further Ado,Emerging Market,Pavlovian,0.0522,0.0199,3920.1325,synth,2.6252,1.0477
18,16,6,Further Ado,Pavlovian,Commandment,0.0807,0.0308,2532.2253,synth,2.6204,1.0439
19,18,12,Golden Tempo,Further Ado,Chief Wallabee,0.104,0.0397,1965.6052,synth,2.6199,1.0435
18,4,12,Further Ado,Litmus Test,Chief Wallabee,0.1132,0.0433,1799.8586,synth,2.6111,1.0367
18,6,16,Further Ado,Commandment,Pavlovian,0.0925,0.0354,2200.3778,synth,2.6089,1.035
18,12,19,Further Ado,Chief Wallabee,Golden Tempo,0.1217,0.0471,1657.6382,synth,2.5859,1.017
1,16,18,Renegade,Pavlovian,Further Ado,0.0674,0.0264,2954.2629,synth,2.5526,0.9911
16,1,18,Pavlovian,Renegade,Further Ado,0.0608,0.0238,3272.256,synth,2.5494,0.9885
18,3,8,Further Ado,Intrepido,So Happy,0.0779,0.0308,2532.2253,synth,2.5303,0.9736
12,18,3,Chief Wallabee,Further Ado,Intrepido,0.0628,0.0251,3108.4603,synth,2.5039,0.9531
4,18,12,Litmus Test,Further Ado,Chief Wallabee,0.0986,0.0397,1965.6052,synth,2.486,0.9391
18,12,4,Further Ado,Chief Wallabee,Litmus Test,0.1162,0.0471,1657.6382,synth,2.4688,0.9257
3,12,18,Intrepido,Chief Wallabee,Further Ado,0.0505,0.0205,3799.7321,synth,2.4611,0.9197
16,18,6,Pavlovian,Further Ado,Commandment,0.0682,0.0278,2804.7908,synth,2.451,0.9118
6,18,16,Commandment,Further Ado,Pavlovian,0.0872,0.0362,2154.164,synth,2.408,0.8782
18,19,8,Further Ado,Golden Tempo,So Happy,0.1386,0.0578,1349.8939,synth,2.3995,0.8716
3,18,8,Intrepido,Further Ado,So Happy,0.0664,0.0278,2804.7908,synth,2.3891,0.8635
18,8,3,Further Ado,So Happy,Intrepido,0.0836,0.0354,2200.3778,synth,2.3592,0.8402
12,3,18,Chief Wallabee,Intrepido,Further Ado,0.0528,0.0224,3484.5166,synth,2.358,0.8393
19,12,18,Golden Tempo,Chief Wallabee,Further Ado,0.0918,0.039,1997.6548,synth,2.3521,0.8346
12,18,19,Chief Wallabee,Further Ado,Golden Tempo,0.1084,0.0463,1683.7494,synth,2.3393,0.8246
19,18,8,Golden Tempo,Further Ado,So Happy,0.1212,0.0529,1474.2039,synth,2.2908,0.7868
18,1,2,Further Ado,Renegade,Albus,0.0724,0.0316,2465.9217,synth,2.2876,0.7843
18,4,8,Further Ado,Litmus Test,So Happy,0.1319,0.0578,1349.8939,synth,2.2831,0.7808
16,6,18,Pavlovian,Commandment,Further Ado,0.0641,0.0284,2744.7799,synth,2.2574,0.7608
18,2,1,Further Ado,Albus,Renegade,0.0634,0.0282,2766.1647,synth,2.2467,0.7524
12,18,4,Chief Wallabee,Further Ado,Litmus Test,0.1035,0.0463,1683.7494,synth,2.2334,0.742
4,12,18,Litmus Test,Chief Wallabee,Further Ado,0.0872,0.039,1997.6548,synth,2.2328,0.7416
12,19,18,Chief Wallabee,Golden Tempo,Further Ado,0.0936,0.042,1858.0193,synth,2.2287,0.7384
6,16,18,Commandment,Pavlovian,Further Ado,0.0716,0.0322,2426.0005,synth,2.2275,0.7375
18,8,19,Further Ado,So Happy,Golden Tempo,0.1442,0.0654,1191.8713,synth,2.2041,0.7192
3,1,6,Intrepido,Renegade,Commandment,0.0613,0.0278,2804.7908,synth,2.2026,0.718
18,1,14,Further Ado,Renegade,Potente,0.1638,0.0749,1041.1669,synth,2.1867,0.7056
1,3,6,Renegade,Intrepido,Commandment,0.0673,0.0308,2532.2253,synth,2.1847,0.7041
4,18,8,Litmus Test,Further Ado,So Happy,0.115,0.0529,1474.2039,synth,2.1737,0.6955
3,6,1,Intrepido,Commandment,Renegade,0.0617,0.0284,2744.7799,synth,2.1704,0.6929
18,14,1,Further Ado,Potente,Renegade,0.1481,0.0687,1135.9805,synth,2.1562,0.6818
18,1,11,Further Ado,Renegade,Incredibolt,0.118,0.0547,1424.7548,synth,2.1561,0.6818
1,18,2,Renegade,Further Ado,Albus,0.0678,0.0316,2465.9217,synth,2.1424,0.6711
1,6,3,Renegade,Commandment,Intrepido,0.0756,0.0354,2200.3778,synth,2.1316,0.6627
19,1,15,Golden Tempo,Renegade,Emerging Market,0.0675,0.0317,2457.0065,synth,2.1252,0.6577
6,3,1,Commandment,Intrepido,Renegade,0.0682,0.0322,2426.0005,synth,2.1216,0.6548
12,4,18,Chief Wallabee,Litmus Test,Further Ado,0.0891,0.042,1858.0193,synth,2.1215,0.6547
18,11,1,Further Ado,Incredibolt,Renegade,0.105,0.0495,1574.8763,synth,2.1197,0.6533
19,1,6,Golden Tempo,Renegade,Commandment,0.1115,0.0529,1474.2039,synth,2.1076,0.6439
18,8,4,Further Ado,So Happy,Litmus Test,0.1377,0.0654,1191.8713,synth,2.1043,0.6413
3,8,18,Intrepido,So Happy,Further Ado,0.0597,0.0284,2744.7799,synth,2.1018,0.6394
6,1,3,Commandment,Renegade,Intrepido,0.0761,0.0362,2154.164,synth,2.1007,0.6386
19,15,1,Golden Tempo,Emerging Market,Renegade,0.0641,0.0306,2553.1552,synth,2.0965,0.6353
2,18,1,Albus,Further Ado,Renegade,0.0533,0.0255,3060.5222,synth,2.0902,0.6303
8,18,3,So Happy,Further Ado,Intrepido,0.0755,0.0362,2154.164,synth,2.0849,0.6262
1,19,15,Renegade,Golden Tempo,Emerging Market,0.0723,0.0347,2249.8232,synth,2.0848,0.6261
19,6,1,Golden Tempo,Commandment,Renegade,0.1123,0.0541,1442.1543,synth,2.0765,0.6196
1,19,6,Renegade,Golden Tempo,Commandment,0.1195,0.0578,1349.8939,synth,2.0675,0.6127
1,18,14,Renegade,Further Ado,Potente,0.1534,0.0749,1041.1669,synth,2.0479,0.5974
15,19,1,Emerging Market,Golden Tempo,Renegade,0.0654,0.0321,2426.2469,synth,2.033,0.5858
18,6,2,Further Ado,Commandment,Albus,0.0765,0.0378,2062.8542,synth,2.0231,0.578
1,18,11,Renegade,Further Ado,Incredibolt,0.1105,0.0547,1424.7548,synth,2.0193,0.575
18,2,6,Further Ado,Albus,Commandment,0.0664,0.0329,2370.9983,synth,2.019,0.5748
4,1,15,Litmus Test,Renegade,Emerging Market,0.064,0.0317,2457.0065,synth,2.0171,0.5733
1,15,19,Renegade,Emerging Market,Golden Tempo,0.074,0.0367,2123.4051,synth,2.0138,0.5708
14,18,1,Potente,Further Ado,Renegade,0.1278,0.0636,1226.3922,synth,2.0089,0.5669
19,8,18,Golden Tempo,So Happy,Further Ado,0.1086,0.0541,1442.1543,synth,2.0083,0.5665
6,19,1,Commandment,Golden Tempo,Renegade,0.1211,0.0603,1292.8119,synth,2.0074,0.5658
18,12,16,Further Ado,Chief Wallabee,Pavlovian,0.0511,0.0255,3060.2552,synth,2.0049,0.5638
4,1,6,Litmus Test,Renegade,Commandment,0.1058,0.0529,1474.2039,synth,2.0003,0.5603
1,6,19,Renegade,Commandment,Golden Tempo,0.1303,0.0654,1191.8713,synth,1.9915,0.5533
15,1,19,Emerging Market,Renegade,Golden Tempo,0.0705,0.0354,2203.6801,synth,1.9907,0.5527
4,15,1,Litmus Test,Emerging Market,Renegade,0.0608,0.0306,2553.1552,synth,1.9902,0.5523
1,4,15,Renegade,Litmus Test,Emerging Market,0.0688,0.0347,2249.8232,synth,1.9841,0.5476
11,18,1,Incredibolt,Further Ado,Renegade,0.0894,0.0454,1719.9045,synth,1.9717,0.538
4,6,1,Litmus Test,Commandment,Renegade,0.1066,0.0541,1442.1543,synth,1.9707,0.5372
1,4,6,Renegade,Litmus Test,Commandment,0.1137,0.0578,1349.8939,synth,1.9677,0.5348
1,2,18,Renegade,Albus,Further Ado,0.0555,0.0282,2766.1647,synth,1.9675,0.5346
8,3,18,So Happy,Intrepido,Further Ado,0.0632,0.0322,2426.0005,synth,1.9672,0.5344
6,1,19,Commandment,Renegade,Golden Tempo,0.1312,0.0668,1166.8388,synth,1.9626,0.5308
18,14,15,Further Ado,Potente,Emerging Market,0.0939,0.0481,1622.8293,synth,1.9539,0.5241
8,18,19,So Happy,Further Ado,Golden Tempo,0.1302,0.0668,1166.8388,synth,1.9478,0.5193
18,15,14,Further Ado,Emerging Market,Potente,0.0978,0.0503,1551.7191,synth,1.946,0.5179
18,1,15,Further Ado,Renegade,Emerging Market,0.2769,0.1423,547.9826,synth,1.9455,0.5175
18,14,6,Further Ado,Potente,Commandment,0.1552,0.0801,973.6976,synth,1.9377,0.5114
15,4,1,Emerging Market,Litmus Test,Renegade,0.0622,0.0321,2426.2469,synth,1.9352,0.5094
18,6,14,Further Ado,Commandment,Potente,0.1732,0.0896,870.9829,synth,1.9339,0.5084
18,1,6,Further Ado,Renegade,Commandment,0.4577,0.2372,328.7896,synth,1.9294,0.5049
1,15,4,Renegade,Emerging Market,Litmus Test,0.0706,0.0367,2123.4051,synth,1.9226,0.4997
18,11,15,Further Ado,Incredibolt,Emerging Market,0.0666,0.0347,2249.8232,synth,1.9208,0.4982
18,15,11,Further Ado,Emerging Market,Incredibolt,0.0705,0.0367,2123.4051,synth,1.9188,0.4966
18,15,1,Further Ado,Emerging Market,Renegade,0.2607,0.1364,571.686,synth,1.9106,0.4903
